TIME,Process_69a,Process_69b,Process_96-97a,Process_96-97b,Process_131a,Process_131b,Process_131c,Process_131d,Process_131e,Process_131f,Process_131g,Process_131h,Process_131i,Process_131j
44,181.68814,185.75026,208.558,203.3032,182.59634,174.79909,169.21097,166.47264,158.53506,162.61357,149.98941,140.56493,134.83397,130.38071
45,181.82693,185.23723,208.551,203.3014,182.64375,174.82645,169.2027,166.50737,158.55667,162.63586,149.96596,140.55348,134.85149,130.3613
46,181.77599,185.18091,208.6575,203.4348,182.60829,174.80496,169.20284,166.52885,158.57321,162.57919,149.9619,140.49533,134.80243,130.39255
47,181.76196,185.63838,208.6598,203.4667,182.62228,174.76639,169.12579,166.50468,158.5766,162.5885,149.91679,140.51918,134.76404,130.37674
48,181.59193,186.07841,208.7022,203.5423,182.6244,174.76109,169.1203,166.53418,158.6181,162.53186,149.90581,140.52138,134.7652,130.35146
49,181.53003,186.73065,208.7221,203.6383,182.61102,174.74124,169.05937,166.54372,158.62285,162.49399,149.83893,140.53496,134.79514,130.3622
50,181.40585,187.2729,208.7667,203.704,182.59213,174.68118,169.06572,166.56244,158.69707,162.45877,149.81647,140.54256,134.83794,130.30122
51,181.31715,187.39429,208.8253,203.7771,182.63184,174.66785,169.10812,166.58472,158.80637,162.45107,149.88861,140.56252,134.90607,130.34605
52,181.1851,187.32086,208.7543,203.7052,182.62492,174.69644,169.04637,166.59183,158.91162,162.46764,149.87021,140.54149,134.97583,130.31577
53,181.07408,187.20407,208.888,203.8837,182.55028,174.66341,169.02232,166.543,158.89241,162.50803,149.86446,140.52078,134.96159,130.32278
54,180.92931,186.9725,208.9419,203.9418,182.5685,174.70842,169.0601,166.58398,158.95007,162.5815,149.87949,140.545,135.00002,130.37022
55,180.87288,186.53293,208.9121,203.898,182.53831,174.72057,169.03215,166.58696,158.95448,162.60857,149.84283,140.50757,135.01472,130.29781
56,180.91061,185.95343,208.991,203.9632,182.55655,174.69215,168.98212,166.62376,159.02089,162.63661,149.84038,140.54759,135.07361,130.33066
57,180.91351,185.35196,209.0341,203.9681,182.55792,174.67958,169.02795,166.66096,159.05873,162.66653,149.86963,140.51962,135.07088,130.3698
58,181.17854,185.1922,209.1076,203.993,182.5609,174.63245,168.99568,166.59303,159.02248,162.65222,149.89584,140.57533,135.07487,130.36412
59,181.51164,185.48103,209.1301,203.9536,182.58986,174.60114,169.01538,166.59686,159.05157,162.69495,149.84161,140.55479,135.0748,130.36365
60,181.84947,186.04778,209.2226,203.9754,182.56245,174.58241,169.03613,166.61063,159.08693,162.71915,149.86783,140.60808,135.08487,130.48424
61,182.02776,186.63481,209.2306,203.8904,182.55301,174.59804,169.00853,166.61011,159.11923,162.75481,149.84987,140.63397,135.09428,130.44339
62,182.06273,187.08,209.2682,203.8498,182.54724,174.56055,169.02554,166.61536,159.13721,162.76186,149.81224,140.59688,135.09552,130.48473
63,182.05063,187.23257,209.3164,203.7861,182.60976,174.61282,169.09747,166.62595,159.16599,162.81401,149.80312,140.67567,135.13008,130.4973
64,181.87225,187.26923,209.321,203.7111,182.60663,174.58305,169.05064,166.64908,159.15887,162.82178,149.76965,140.66719,135.09454,130.49013
65,181.69125,187.02098,209.3405,203.6721,182.64984,174.60216,169.12157,166.67209,159.20537,162.82669,149.76753,140.68912,135.14461,130.52504
66,181.49181,186.68925,209.3754,203.5814,182.65421,174.64574,169.15596,166.63635,159.20349,162.87808,149.7666,140.64355,135.12495,130.53166
67,181.36873,186.30026,209.3655,203.4967,182.6496,174.61981,169.10342,166.6559,159.2137,162.87889,149.72369,140.65039,135.09314,130.5108
68,181.27924,185.8676,209.3955,203.3985,182.66055,174.6424,169.13023,166.67062,159.25354,162.94417,149.76813,140.67726,135.1248,130.62082
69,181.18466,185.43546,209.4319,203.3338,182.68059,174.64456,169.19273,166.65781,159.25374,162.94092,149.82471,140.655,135.13382,130.65915
70,181.07198,185.19469,209.4432,203.2822,182.66252,174.65582,169.17278,166.64818,159.25133,162.96863,149.78429,140.63826,135.06706,130.63269
71,181.00008,185.05667,209.4577,203.2243,182.70116,174.67366,169.17796,166.63074,159.2691,162.97202,149.76718,140.64249,135.0636,130.66313
72,180.88197,185.17546,209.4519,203.1657,182.70239,174.60869,169.14992,166.59808,159.25873,162.98825,149.73878,140.60533,135.09857,130.69092
73,180.9617,185.65425,209.4587,203.1058,182.74976,174.62445,169.15498,166.64674,159.25969,163.02078,149.77997,140.60893,135.07297,130.70502
74,181.34692,186.42615,209.4764,203.1101,182.72911,174.64882,169.14825,166.60106,159.28329,163.03963,149.79254,140.62459,135.11079,130.72209
75,181.69891,186.97189,209.4305,203.0432,182.66862,174.67682,169.14223,166.62654,159.30911,163.0452,149.75371,140.57054,135.10587,130.73444
76,182.21414,187.18474,209.4654,203.0539,182.67648,174.67412,169.15781,166.62961,159.30672,163.024,149.78751,140.59651,135.11206,130.83978
77,182.06897,186.85033,209.4448,203.0273,182.68542,174.6946,169.14856,166.62125,159.31026,163.04317,149.81824,140.57314,135.10741,130.83322
78,182.08302,186.59644,209.4245,203.0093,182.67336,174.67285,169.07483,166.58496,159.29927,163.07016,149.80424,140.54808,135.08524,130.85233
79,181.89938,186.23576,209.412,202.9967,182.71657,174.68686,169.14648,166.6445,159.27571,163.05492,149.87819,140.5809,135.07712,130.86682
80,181.56261,185.92711,209.403,202.9541,182.70998,174.7347,169.08308,166.59076,159.21722,163.07263,149.85112,140.59135,135.0786,130.87375
81,181.17647,185.49651,209.4212,202.9727,182.72282,174.70009,169.12263,166.5612,159.2468,163.09929,149.87845,140.55759,135.10049,130.90132
82,180.93758,185.24268,209.3679,202.9494,182.69411,174.76057,169.11826,166.61292,159.26241,163.0826,149.88144,140.49887,135.14729,130.90607
83,180.91988,185.28838,209.3651,202.9912,182.67924,174.74313,169.15643,166.56166,159.21996,163.04156,149.88985,140.45673,135.12399,130.91861
84,180.85397,185.30511,209.3532,202.981,182.64775,174.76752,169.13524,166.53799,159.2289,163.05507,149.85101,140.42775,135.09117,130.9232
85,180.76715,185.44151,209.3055,202.9488,182.62138,174.80305,169.18384,166.55489,159.19519,163.03949,149.90308,140.4736,135.09801,130.94919
86,180.73099,185.73349,209.2784,202.9681,182.56502,174.83167,169.19875,166.49722,159.19273,163.02577,149.86565,140.46375,135.07542,130.95718
87,180.79413,186.25345,209.2389,202.9531,182.5808,174.80855,169.19829,166.48663,159.16492,162.98824,149.8476,140.44951,135.10541,130.95024
88,181.16673,186.68176,209.2483,202.9544,182.55869,174.79474,169.17821,166.46977,159.18974,162.98026,149.81157,140.47839,135.09839,130.96663
89,181.70686,186.95935,209.2099,202.9679,182.56325,174.80374,169.20842,166.52577,159.1738,162.96721,149.8084,140.46696,135.10742,130.96854
90,181.83949,186.93631,209.2005,203.006,182.5023,174.79453,169.19144,166.48689,159.14217,162.93358,149.76414,140.43015,135.11017,130.90756
91,181.96405,186.87576,209.2833,203.1304,182.48149,174.76581,169.24733,166.45856,159.14688,162.89839,149.75977,140.42558,135.07478,130.90074
92,182.0112,186.77448,209.1677,203.0596,182.40225,174.74362,169.22835,166.45021,159.14957,162.86528,149.71571,140.39624,135.03641,130.88145
93,181.8475,186.34865,209.1442,203.0833,182.39941,174.74988,169.3064,166.43427,159.12125,162.85077,149.73863,140.40363,135.04541,130.85175
94,181.53043,185.88483,209.1127,203.088,182.37898,174.77621,169.27327,166.42343,159.11682,162.86456,149.73291,140.41991,135.02846,130.82954
95,181.13239,185.65627,209.0803,203.0768,182.39957,174.74809,169.3201,166.49657,159.11443,162.83131,149.75638,140.40164,135.01521,130.81979
96,180.97551,185.61267,209.1143,203.1324,182.35222,174.67168,169.27951,166.46013,159.06522,162.77747,149.7137,140.36026,134.95799,130.79388
97,180.80957,185.42429,209.0682,203.1229,182.35898,174.70503,169.32068,166.49634,159.06099,162.769,149.70193,140.35464,134.96777,130.85855
98,180.7083,185.35072,209.0361,203.0733,182.37343,174.74236,169.35989,166.52727,159.03146,162.73882,149.72173,140.35258,134.96107,130.78867
99,180.73616,185.46616,209.1263,203.1679,182.32864,174.69455,169.30589,166.51466,159.02371,162.72375,149.64648,140.3428,134.95714,130.76299
100,180.80293,185.89821,209.0958,203.1113,182.30618,174.68999,169.2767,166.48761,159.01585,162.73615,149.64261,140.33864,134.95633,130.7905
101,181.14978,186.50966,209.1963,203.1839,182.2149,174.6913,169.32285,166.46663,158.98961,162.72522,149.68954,140.32559,134.96523,130.82356
102,181.64366,186.93265,208.9897,202.9536,182.23402,174.65367,169.32355,166.49019,158.96486,162.72641,149.67195,140.31458,134.9351,130.75613
103,181.86035,187.12735,209.1296,203.1085,182.23671,174.66106,169.3634,166.49402,158.95747,162.69176,149.69411,140.30571,134.94218,130.77193
104,181.87166,187.24973,209.2611,203.2551,182.22075,174.68047,169.39371,166.52048,158.97621,162.69855,149.76271,140.33061,134.99324,130.78461
105,181.9164,187.25983,209.3168,203.2901,182.13716,174.61691,169.33466,166.47952,158.93294,162.64656,149.6897,140.2925,134.93666,130.7663
106,181.9066,186.76086,209.3678,203.3138,182.0777,174.58711,169.28484,166.47356,158.93182,162.64395,149.68448,140.28186,134.90784,130.74457
107,181.75687,186.16449,209.3802,203.3297,182.06268,174.61378,169.37567,166.58211,158.90633,162.61697,149.7357,140.27277,134.89484,130.77864
108,181.51393,185.85608,209.3643,203.2975,182.00917,174.57985,169.33929,166.54131,158.82503,162.59122,149.6936,140.22717,134.88686,130.74734
109,181.29591,185.74995,209.4816,203.4031,182.01077,174.61169,169.32758,166.50232,158.83075,162.61497,149.69116,140.21365,134.86662,130.74922
110,180.91801,185.68462,209.5479,203.4221,181.99002,174.58794,169.36293,166.485,158.85713,162.57541,149.73294,140.18347,134.87038,130.73151
111,180.70671,185.58006,209.5721,203.4694,181.98882,174.65254,169.35732,166.50276,158.85674,162.58389,149.73167,140.231,134.8996,130.74303
112,180.72954,185.3766,209.756,203.6408,181.97737,174.61237,169.39037,166.52444,158.83852,162.5685,149.76546,140.22429,134.87125,130.75098
113,180.94046,185.71544,209.6364,203.53,181.97821,174.57257,169.30112,166.46388,158.74782,162.50174,149.6595,140.13074,134.7986,130.71997
114,181.31458,186.37033,209.6517,203.5829,181.98346,174.55908,169.28687,166.44749,158.81107,162.5269,149.75821,140.11615,134.86388,130.72241
115,182.01482,187.0136,209.7156,203.6153,181.95764,174.56212,169.28429,166.45483,158.80829,162.56271,149.71977,140.06525,134.80788,130.71031
116,182.36209,187.36467,209.5407,203.4047,181.91364,174.50168,169.26569,166.43842,158.8004,162.52657,149.78889,140.10219,134.81194,130.74342
117,182.24091,187.50014,209.7586,203.6601,181.88576,174.47993,169.22408,166.3983,158.78181,162.52873,149.7946,140.11107,134.80132,130.73396
118,182.02315,187.42435,209.8156,203.695,181.94276,174.49451,169.25327,166.41415,158.78912,162.53105,149.81586,140.12518,134.79938,130.72719
119,181.90971,186.96754,209.822,203.7026,181.90755,174.45407,169.24092,166.35457,158.79126,162.50957,149.77638,140.1353,134.79204,130.64288
120,181.76891,186.28497,209.7486,203.6232,181.86302,174.45055,169.26402,166.31668,158.82047,162.51234,149.75693,140.1908,134.84415,130.69316
121,181.73947,185.89214,209.8926,203.7803,181.83586,174.42441,169.2209,166.32307,158.81749,162.51465,149.75069,140.18642,134.87262,130.67094
122,181.81879,185.97568,209.9052,203.8091,181.90396,174.46083,169.29065,166.38921,158.88924,162.5284,149.73076,140.2186,134.90186,130.70056
123,181.50696,186.00761,209.7265,203.6221,181.92065,174.43782,169.23543,166.34711,158.90588,162.55768,149.71414,140.1879,134.91504,130.6768
124,181.23828,185.89325,209.8609,203.8993,181.8475,174.42491,169.26357,166.38272,158.89061,162.56561,149.74678,140.16252,134.92703,130.70909
125,181.4435,186.09271,209.8589,203.8009,181.81154,174.38831,169.21942,166.34082,158.87697,162.56563,149.73325,140.12204,134.89479,130.69356
126,181.25064,185.88966,210.0163,203.9647,181.8177,174.38406,169.18802,166.36084,158.84602,162.58426,149.67923,140.09537,134.90779,130.68021
127,181.60898,186.57567,210.0546,204.0031,181.80246,174.39223,169.18053,166.39363,158.8172,162.58131,149.66936,140.05473,134.89882,130.66727
128,182.1584,187.50043,210.0905,204.0701,181.82529,174.37047,169.21727,166.44278,158.78337,162.59354,149.66899,140.08801,134.90971,130.66606
129,182.68129,188.01192,210.156,204.1555,181.83546,174.38661,169.23454,166.42867,158.78555,162.62671,149.63176,140.09027,134.95964,130.71091
130,182.63831,188.01477,210.1952,204.1962,181.80295,174.34161,169.23244,166.46144,158.76231,162.61275,149.68491,140.09717,134.92761,130.703
131,182.51294,188.03706,210.2383,204.2572,181.83061,174.36469,169.23856,166.52817,158.78424,162.59444,149.73592,140.11803,134.9897,130.77623
132,182.35239,187.39424,210.2624,204.2785,181.79755,174.36778,169.2065,166.51643,158.83124,162.57797,149.70578,140.10622,134.99249,130.75822
133,182.34879,186.63972,210.5071,204.5095,181.74246,174.32254,169.1707,166.51024,158.81601,162.54364,149.74634,140.01494,134.88496,130.73434
134,182.14273,185.96461,210.3296,204.3571,181.76192,174.34802,169.14531,166.51663,158.91473,162.63249,149.78481,140.08098,134.94302,130.80438
135,182.27202,186.09077,210.4388,204.4328,181.7888,174.32782,169.1129,166.5459,158.94534,162.65953,149.82959,140.06285,134.9516,130.8213
136,182.04825,186.09856,210.4078,204.3927,181.76195,174.32808,169.10425,166.57314,159.00993,162.67085,149.81352,140.08638,134.97488,130.78448
137,181.91156,186.09546,210.4521,204.3981,181.74858,174.37599,169.13693,166.59642,159.02309,162.71867,149.9026,140.1033,135.03592,130.85486
138,181.45174,185.85812,210.5442,204.4433,181.77002,174.32358,169.05734,166.56369,159.04459,162.74644,149.84172,140.08179,134.99986,130.84357
139,181.47699,186.11691,210.526,204.3929,181.76398,174.29851,169.09567,166.62029,159.04553,162.77141,149.905,140.0706,135.03813,130.81409
140,181.73683,186.68143,210.5772,204.3644,181.78238,174.29369,169.14441,166.64871,159.0925,162.83269,149.95851,140.13458,135.06628,130.85068
141,181.97003,187.61891,210.6069,204.3061,181.77179,174.27327,169.12178,166.62164,159.06715,162.83864,149.92744,140.12329,135.05658,130.85019
142,182.15642,188.24211,210.6108,204.2206,181.79344,174.29022,169.11884,166.60585,159.09351,162.89546,149.97575,140.12114,135.07843,130.85622
143,182.45053,188.41246,210.6338,204.1705,181.81407,174.29681,169.16844,166.61642,159.14459,162.88966,150.00896,140.13577,135.11926,130.91454
144,182.58994,188.13513,210.6537,204.0898,181.83902,174.29953,169.17711,166.63545,159.14545,162.94838,150.01654,140.13826,135.10985,130.93535
145,182.97525,187.88708,210.6671,204.0374,181.83929,174.26964,169.17601,166.59874,159.10193,162.92085,149.99751,140.06584,135.11116,130.94496
146,183.13077,187.11314,210.6447,203.9616,181.8273,174.2623,169.20139,166.62413,159.09813,162.97791,150.03053,140.09061,135.11891,130.98698
147,183.1091,186.21342,210.6681,203.9036,181.8486,174.22903,169.1842,166.60866,159.11195,163.0051,150.0313,140.14172,135.18265,130.98354
